Format,  CSV
Property of the curves, 7 9 1.000000 1.000000 
CURVE, Y1, Y2, Y3, Y4, Y5, Y6, Y7
0, 0.000000, 0.000000, 0.000000, -0.244581, 0.135840, 0.000000, 100.000000
1, 133.000000, 0.000000, 0.000000, -0.073176, 0.170284, 0.000000, 100.000000
2, 267.000000, 0.000000, 0.000000, -0.291770, -0.043459, 0.000000, 100.000000
3, 400.000000, 0.000000, 0.000000, -0.093570, 0.091473, 0.000000, 100.000000
4, 533.000000, 0.000000, 0.000000, 0.253562, 0.090366, 0.000000, 100.000000
5, 667.000000, 0.000000, 0.000000, 0.088612, 0.135302, 0.000000, 100.000000
6, 800.000000, 0.000000, 0.000000, 0.090104, -0.087572, 0.000000, 100.000000
7, 933.000000, 0.000000, 0.000000, 0.193434, 0.162130, 0.000000, 100.000000
8, 1067.000000, 0.000000, 0.000000, -0.082923, -0.078487, 0.000000, 100.000000

