Format,  CSV
Property of the curves, 7 9 1.000000 1.000000 
CURVE, Y1, Y2, Y3, Y4, Y5, Y6, Y7
0, 0.000000, -4.000000, -1.000000, 0.066724, -0.211714, 0.000000, 100.000000
1, 133.000000, -3.000000, 0.000000, 0.244877, -0.489303, 0.000000, 100.000000
2, 267.000000, -2.000000, 0.000000, 0.493178, -0.378877, 0.000000, 100.000000
3, 400.000000, 0.000000, 0.000000, -0.448853, -0.306282, 0.000000, 100.000000
4, 533.000000, 0.000000, 0.000000, 0.442988, -0.258356, 0.000000, 100.000000
5, 667.000000, 0.000000, 0.000000, 0.218138, -0.127705, 0.000000, 100.000000
6, 800.000000, 0.000000, 0.000000, 0.425552, -0.107194, 0.000000, 100.000000
7, 933.000000, 0.000000, 0.000000, 0.490172, -0.042712, 0.000000, 100.000000
8, 1067.000000, 0.000000, 0.000000, -0.050184, -0.098138, 0.000000, 100.000000

