SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
146	00h:16m:45s	46.8%	19.6C
147	00h:16m:52s	46.8%	19.6C
148	00h:16m:59s	46.8%	19.6C
149	00h:17m:06s	46.8%	19.6C
150	00h:17m:13s	46.8%	19.6C
151	00h:17m:20s	46.8%	19.6C
152	00h:17m:28s	46.8%	19.6C
153	00h:17m:35s	46.8%	19.6C
154	00h:17m:42s	46.8%	19.6C
155	00h:17m:49s	46.8%	19.6C
156	00h:17m:55s	46.8%	19.6C
157	00h:18m:02s	46.8%	19.6C
158	00h:18m:09s	46.8%	19.7C
159	00h:18m:16s	46.8%	19.7C
160	00h:18m:23s	46.8%	19.7C
161	00h:18m:30s	46.8%	19.7C
162	00h:18m:38s	46.8%	19.7C
163	00h:18m:45s	46.8%	19.7C
164	00h:18m:51s	46.8%	19.7C
165	00h:18m:58s	46.8%	19.7C
166	00h:19m:05s	46.8%	19.7C
167	00h:19m:12s	46.8%	19.7C
168	00h:19m:19s	46.8%	19.7C
169	00h:19m:26s	46.8%	19.7C
170	00h:19m:33s	46.8%	19.7C
171	00h:19m:41s	46.8%	19.7C
172	00h:19m:48s	46.8%	19.7C
173	00h:19m:55s	46.8%	19.7C
174	00h:20m:02s	46.8%	19.7C
175	00h:20m:09s	46.8%	19.7C
176	00h:20m:15s	46.8%	19.7C
177	00h:20m:22s	46.8%	19.7C
178	00h:20m:29s	46.8%	19.7C
179	00h:20m:36s	46.8%	19.7C
180	00h:20m:43s	46.8%	19.7C
181	00h:20m:50s	46.8%	19.7C
182	00h:20m:58s	46.8%	19.7C
183	00h:21m:05s	46.8%	19.7C
184	00h:21m:12s	46.8%	19.7C
185	00h:21m:19s	46.8%	19.7C
186	00h:21m:26s	46.8%	19.7C
187	00h:21m:33s	46.8%	19.7C
188	00h:21m:40s	46.8%	19.7C
189	00h:21m:47s	46.8%	19.7C
190	00h:21m:54s	46.8%	19.7C
191	00h:22m:01s	46.8%	19.7C
192	00h:22m:08s	46.8%	19.7C
193	00h:22m:15s	46.8%	19.7C
194	00h:22m:22s	46.8%	19.7C
195	00h:22m:29s	46.8%	19.7C
196	00h:22m:36s	46.8%	19.7C
197	00h:22m:43s	46.8%	19.7C
198	00h:22m:50s	46.8%	19.7C
199	00h:22m:57s	46.8%	19.7C
200	00h:23m:03s	46.8%	19.7C
201	00h:23m:10s	46.8%	19.7C
202	00h:23m:17s	46.8%	19.7C
203	00h:23m:24s	46.8%	19.7C
204	00h:23m:32s	46.8%	19.7C
205	00h:23m:38s	46.8%	19.7C
206	00h:23m:45s	46.8%	19.7C
207	00h:23m:52s	46.8%	19.7C
208	00h:23m:59s	46.8%	19.7C
209	00h:24m:06s	46.8%	19.7C
210	00h:24m:13s	46.7%	19.7C
211	00h:24m:20s	46.8%	19.7C
212	00h:24m:27s	46.8%	19.7C
213	00h:24m:34s	46.8%	19.8C
214	00h:24m:42s	46.7%	19.8C
215	00h:24m:49s	46.8%	19.8C
216	00h:24m:56s	46.7%	19.8C
217	00h:25m:03s	46.7%	19.8C
218	00h:25m:09s	46.7%	19.8C
219	00h:25m:16s	46.8%	19.8C
220	00h:25m:23s	46.8%	19.8C
221	00h:25m:30s	46.8%	19.8C
222	00h:25m:37s	46.7%	19.8C
223	00h:25m:44s	46.8%	19.8C
224	00h:25m:52s	46.8%	19.8C
